word,zipf
aloud,3.94
alowe,0.82
alpha,4.17
altar,4.14
alter,4.36
altho,0.0
altos,0.0
alula,1.83
alums,0.0
alumy,0.0
alure,0.79
alurk,0.0
alvar,0.0
alway,2.7
amahs,0.0
amain,2.24
amari,0.0
amaro,0.0
amass,2.7
amate,1.54
amaut,0.0
amaze,2.78
amban,0.0
amber,3.73
ambit,2.92
amble,2.37
ambos,0.0
ambry,1.22
ameba,2.09
ameer,2.57
amend,4.65
amene,1.15
amens,0.0
ament,2.24
amias,1.65
amice,0.0
amici,0.0
amide,3.15
amido,2.33
amids,0.0
amies,0.0
amiga,0.0
amigo,2.47
amine,3.44
amino,4.27
amins,0.0
amirs,0.0
amiss,3.3
amity,3.18
amlas,0.0
amman,2.99
ammas,0.0
ammon,0.0
ammos,0.0
amnia,0.0
amnic,0.0
amnio,1.26
amoks,0.0
amole,1.4
among,5.58
amore,0.0
amort,2.32
amour,3.1
amove,1.38
amowt,0.0
amped,0.0
ample,4.27
amply,3.67
ampul,1.7
amrit,0.0
amuck,2.09
amuse,3.4
amyls,0.0
anana,0.0
anata,0.0
ancho,0.0
ancle,1.92
ancon,2.35
andic,0.0
andro,2.22
anear,1.55
anele,0.95
anent,2.69
angas,2.19
angel,4.25
anger,4.41
angle,4.74
anglo,4.2
angry,4.37
angst,2.78
anigh,1.57
anile,1.32
anils,0.0
anima,3.01
anime,2.42
animi,0.0
anion,3.5
anise,2.7
anker,2.39
ankhs,0.0
ankle,3.75
ankus,1.01
anlas,0.0
annal,2.34
annan,0.0
annas,0.0
annat,0.0
annex,3.99
annoy,3.15
annul,3.16
annum,4.32
annus,0.0
anoas,0.0
anode,3.69
anole,1.49
anomy,1.42
ansae,0.0
ansas,0.0
antae,0.0
antar,0.0
antas,0.0
anted,0.0
antes,2.48
antic,2.5
antis,0.0
antra,0.0
antre,0.0
antsy,2.03
anura,2.05
anvil,3.24
anyon,1.83
aorta,3.59
apace,3.0
apage,0.0
apaid,0.82
apart,4.79
apayd,0.0
apays,0.0
apeak,1.5
apeek,0.0
apers,0.0
apert,1.85
apery,0.92
apgar,2.47
aphid,3.12
aphis,3.13
apian,1.61
aping,2.26
apiol,0.0
apish,1.69
apism,0.0
apnea,3.04
apode,0.05
apods,0.0
apols,0.0
apoop,0.0
aport,1.41
appal,2.12
appam,0.0
appay,0.44
appel,0.0
apple,4.34
apply,5.06
appro,2.92
appts,0.0
appui,1.93
appuy,0.32
apres,0.0
apron,3.59
apses,0.0
apsis,1.59
apsos,0.0
apted,0.0
apter,0.0
aptly,3.4
aquae,0.0
aquas,0.0
araba,1.93
araks,0.0
arame,1.2
arars,0.0
arbah,0.0
arbas,0.0
arbor,3.98
arced,2.16
archi,2.47
arcos,0.0
arcus,2.23
ardeb,1.04
ardor,3.12
ardri,0.0
aread,1.16
areae,0.0
areal,3.15
arear,1.03
areas,0.0
areca,2.35
aredd,0.0
arede,0.54
arefy,0.0
areic,0.0
arena,3.93
arene,0.0
arepa,0.0
arere,0.93
arete,2.29
arets,0.0
arett,0.0
argal,1.47
argan,0.0
argil,1.54
argle,0.92
argol,1.61
argon,3.54
argot,2.27
argue,4.43
argus,3.19
arhat,2.0
arias,0.0
ariel,0.0
ariki,0.0
arils,0.0
ariot,0.38
arise,4.6
arish,2.19
arith,0.0
arked,0.0
arled,0.0
arles,2.63
armed,4.67
armer,2.04
armet,1.23
armil,0.68
armor,3.77
arnas,0.0
arnis,0.0
arnut,0.0
aroba,0.43
aroha,0.0
aroid,1.41
aroma,3.37
arose,4.36
arpas,0.0
arpen,0.0
arrah,2.08
arras,2.92
array,4.34
arret,0.0
arris,2.08
arrow,4.13
arroz,0.0
arsed,1.63
arses,0.0
arsey,0.0
arsis,1.67
arson,3.34
artal,0.0
artel,1.91
arter,2.57
artic,2.23
artis,0.0
artly,1.55
artsy,1.95
aruhe,0.0
arums,0.0
arval,1.46
arvee,0.0
arvos,0.0
aryls,0.0
asada,0.0
asana,2.11
ascon,0.0
ascot,2.72
ascus,2.32
asdic,1.73
ashed,0.0
ashen,2.76
ashes,0.0
ashet,0.0
aside,4.72
asity,0.0
askar,1.81
asked,5.36
asker,1.94
askew,2.91
askoi,0.0
askos,0.0
aspen,3.47
asper,2.33
aspic,2.17
aspie,1.19
aspis,1.63
aspro,0.0
assai,1.91
assam,3.58
assay,4.01
assed,2.53
asses,0.0
asset,4.34
assez,0.0
assot,0.71
aster,3.26
astir,2.44
astun,0.0
asura,2.18
asway,0.39
aswim,0.61
asyla,0.0
